full_organ,organ
MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,VASCULAR_SYSTEM_NASAL_CAVITY
FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,VASCULAR_SYSTEM_SPLEEN
MALE_MICE_VASCULAR_SYSTEM_SPLEEN,VASCULAR_SYSTEM_SPLEEN
MALE_RATS_VASCULAR_SYSTEM_SPLEEN,VASCULAR_SYSTEM_SPLEEN
FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,VASCULAR_SYSTEM_UNSPECIFIED
MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,VASCULAR_SYSTEM_UNSPECIFIED
FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,VASCULAR_SYSTEM_UNSPECIFIED
MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,VASCULAR_SYSTEM_UNSPECIFIED
FEMALE_MICE_ZYMBAL_GLAND,ZYMBAL_GLAND
MALE_MICE_ZYMBAL_GLAND,ZYMBAL_GLAND
FEMALE_RATS_ZYMBAL_GLAND,ZYMBAL_GLAND
MALE_RATS_ZYMBAL_GLAND,ZYMBAL_GLAND
